ID,Label,Reign,Year of Reign,Start Date,End Date
Edw6/3,3 Edw. 6,Edw6,3,1549-01-28,1550-01-27
Edw6/4,4 Edw. 6,Edw6,4,1550-01-28,1551-01-27
Edw6/5,5 Edw. 6,Edw6,5,1551-01-28,1552-01-27
Edw6/6,6 Edw. 6,Edw6,6,1552-01-28,1553-01-27
Edw6/7,7 Edw. 6,Edw6,7,1553-01-28,1553-07-06
Edw7/1,1 Edw. 7,Edw7,1,1901-01-22,1902-01-21
Edw7/10,10 Edw. 7,Edw7,10,1910-01-22,1910-05-06
Edw7/2,2 Edw. 7,Edw7,2,1902-01-22,1903-01-21
Edw7/3,3 Edw. 7,Edw7,3,1903-01-22,1904-01-21
Edw7/4,4 Edw. 7,Edw7,4,1904-01-22,1905-01-21
Edw7/5,5 Edw. 7,Edw7,5,1905-01-22,1906-01-21
Edw7/6,6 Edw. 7,Edw7,6,1906-01-22,1907-01-21
Edw7/7,7 Edw. 7,Edw7,7,1907-01-22,1908-01-21
Edw7/8,8 Edw. 7,Edw7,8,1908-01-22,1909-01-21
Edw7/9,9 Edw. 7,Edw7,9,1909-01-22,1910-01-21
Edw8/1,1 Edw. 8,Edw8,1,1936-01-20,1936-12-11
Eliz1/1,1 Eliz. 1,Eliz1,1,1558-11-17,1559-11-16
Eliz1/10,10 Eliz. 1,Eliz1,10,1567-11-17,1568-11-16
Eliz1/11,11 Eliz. 1,Eliz1,11,1568-11-17,1569-11-16
Eliz1/12,12 Eliz. 1,Eliz1,12,1569-11-17,1570-11-16
Eliz1/13,13 Eliz. 1,Eliz1,13,1570-11-17,1571-11-16
Eliz1/14,14 Eliz. 1,Eliz1,14,1571-11-17,1572-11-16
Eliz1/15,15 Eliz. 1,Eliz1,15,1572-11-17,1573-11-16
Eliz1/16,16 Eliz. 1,Eliz1,16,1573-11-17,1574-11-16
Eliz1/17,17 Eliz. 1,Eliz1,17,1574-11-17,1575-11-16
Eliz1/18,18 Eliz. 1,Eliz1,18,1575-11-17,1576-11-16
Eliz1/19,19 Eliz. 1,Eliz1,19,1576-11-17,1577-11-16
Eliz1/2,2 Eliz. 1,Eliz1,2,1559-11-17,1560-11-16
Eliz1/20,20 Eliz. 1,Eliz1,20,1577-11-17,1578-11-16
Eliz1/21,21 Eliz. 1,Eliz1,21,1578-11-17,1579-11-16
Eliz1/22,22 Eliz. 1,Eliz1,22,1579-11-17,1580-11-16
Eliz1/23,23 Eliz. 1,Eliz1,23,1580-11-17,1581-11-16
Eliz1/24,24 Eliz. 1,Eliz1,24,1581-11-17,1582-11-16
Eliz1/25,25 Eliz. 1,Eliz1,25,1582-11-17,1583-11-16
Eliz1/26,26 Eliz. 1,Eliz1,26,1583-11-17,1584-11-16
Eliz1/27,27 Eliz. 1,Eliz1,27,1584-11-17,1585-11-16
Eliz1/28,28 Eliz. 1,Eliz1,28,1585-11-17,1586-11-16
Eliz1/29,29 Eliz. 1,Eliz1,29,1586-11-17,1587-11-16
Eliz1/3,3 Eliz. 1,Eliz1,3,1560-11-17,1561-11-16
Eliz1/30,30 Eliz. 1,Eliz1,30,1587-11-17,1588-11-16
Eliz1/31,31 Eliz. 1,Eliz1,31,1588-11-17,1589-11-16
Eliz1/32,32 Eliz. 1,Eliz1,32,1589-11-17,1590-11-16
Eliz1/33,33 Eliz. 1,Eliz1,33,1590-11-17,1591-11-16
Eliz1/34,34 Eliz. 1,Eliz1,34,1591-11-17,1592-11-16
Eliz1/35,35 Eliz. 1,Eliz1,35,1592-11-17,1593-11-16
Eliz1/36,36 Eliz. 1,Eliz1,36,1593-11-17,1594-11-16
Eliz1/37,37 Eliz. 1,Eliz1,37,1594-11-17,1595-11-16
Eliz1/38,38 Eliz. 1,Eliz1,38,1595-11-17,1596-11-16
Eliz1/39,39 Eliz. 1,Eliz1,39,1596-11-17,1597-11-16
Eliz1/4,4 Eliz. 1,Eliz1,4,1561-11-17,1562-11-16
Eliz1/40,40 Eliz. 1,Eliz1,40,1597-11-17,1598-11-16
Eliz1/41,41 Eliz. 1,Eliz1,41,1598-11-17,1599-11-16
Eliz1/42,42 Eliz. 1,Eliz1,42,1599-11-17,1600-11-16
Eliz1/43,43 Eliz. 1,Eliz1,43,1600-11-17,1601-11-16
Eliz1/44,44 Eliz. 1,Eliz1,44,1601-11-17,1602-11-16
Eliz1/45,45 Eliz. 1,Eliz1,45,1602-11-17,1603-03-24
Eliz1/5,5 Eliz. 1,Eliz1,5,1562-11-17,1563-11-16
Eliz1/6,6 Eliz. 1,Eliz1,6,1563-11-17,1564-11-16
Eliz1/7,7 Eliz. 1,Eliz1,7,1564-11-17,1565-11-16
Eliz1/8,8 Eliz. 1,Eliz1,8,1565-11-17,1566-11-16
Eliz1/9,9 Eliz. 1,Eliz1,9,1566-11-17,1567-11-16
Eliz2/1,1 Eliz. 2,Eliz2,1,1952-02-06,1953-02-05
Eliz2/10,10 Eliz. 2,Eliz2,10,1961-02-06,1962-02-05
Eliz2/11,11 Eliz. 2,Eliz2,11,,
Eliz2/12,12 Eliz. 2,Eliz2,12,,
Eliz2/2,2 Eliz. 2,Eliz2,2,1953-02-06,1954-02-05
Eliz2/3,3 Eliz. 2,Eliz2,3,1954-02-06,1955-02-05
Eliz2/4,4 Eliz. 2,Eliz2,4,1955-02-06,1956-02-05
Eliz2/5,5 Eliz. 2,Eliz2,5,1956-02-06,1957-02-05
Eliz2/6,6 Eliz. 2,Eliz2,6,1957-02-06,1958-02-05
Eliz2/7,7 Eliz. 2,Eliz2,7,1958-02-06,1959-02-05
Eliz2/8,8 Eliz. 2,Eliz2,8,1959-02-06,1960-02-05
Eliz2/9,9 Eliz. 2,Eliz2,9,1960-02-06,1961-02-05
Geo1/1,1 Geo. 1,Geo1,1,1714-08-01,1715-07-31
Geo1/10,10 Geo. 1,Geo1,10,1723-08-01,1724-07-31
Geo1/11,11 Geo. 1,Geo1,11,1724-08-01,1725-07-31
Geo1/12,12 Geo. 1,Geo1,12,1725-08-01,1726-07-31
Geo1/13,13 Geo. 1,Geo1,13,1726-08-01,1727-06-11
Geo1/2,2 Geo. 1,Geo1,2,1715-08-01,1716-07-31
Geo1/3,3 Geo. 1,Geo1,3,1716-08-01,1717-07-31
Geo1/4,4 Geo. 1,Geo1,4,1717-08-01,1718-07-31
Geo1/5,5 Geo. 1,Geo1,5,1718-08-01,1719-07-31
Geo1/6,6 Geo. 1,Geo1,6,1719-08-01,1720-07-31
Geo1/7,7 Geo. 1,Geo1,7,1720-08-01,1721-07-31
Geo1/8,8 Geo. 1,Geo1,8,1721-08-01,1722-07-31
Geo1/9,9 Geo. 1,Geo1,9,1722-08-01,1723-07-31
Geo2/1,1 Geo. 2,Geo2,1,1727-06-11,1728-06-10
Geo2/10,10 Geo. 2,Geo2,10,1736-06-11,1737-06-10
Geo2/11,11 Geo. 2,Geo2,11,1737-06-11,1738-06-10
Geo2/12,12 Geo. 2,Geo2,12,1738-06-11,1739-06-10
Geo2/13,13 Geo. 2,Geo2,13,1739-06-11,1740-06-10
Geo2/14,14 Geo. 2,Geo2,14,1740-06-11,1741-06-10
Geo2/15,15 Geo. 2,Geo2,15,1741-06-11,1742-06-10
Geo2/16,16 Geo. 2,Geo2,16,1742-06-11,1743-06-10
Geo2/17,17 Geo. 2,Geo2,17,1743-06-11,1744-06-10
Geo2/18,18 Geo. 2,Geo2,18,1744-06-11,1745-06-10
Geo2/19,19 Geo. 2,Geo2,19,1745-06-11,1746-06-10
Geo2/2,2 Geo. 2,Geo2,2,1728-06-11,1729-06-10
Geo2/20,20 Geo. 2,Geo2,20,1746-06-11,1747-06-10
Geo2/21,21 Geo. 2,Geo2,21,1747-06-11,1748-06-10
Geo2/22,22 Geo. 2,Geo2,22,1748-06-11,1749-06-10
Geo2/23,23 Geo. 2,Geo2,23,1749-06-11,1750-06-10
Geo2/24,24 Geo. 2,Geo2,24,1750-06-11,1751-06-10
Geo2/25,25 Geo. 2,Geo2,25,1751-06-11,1752-06-10
Geo2/26,26 Geo. 2,Geo2,26,1752-06-11,1753-06-10
Geo2/27,27 Geo. 2,Geo2,27,1753-06-11,1754-06-10
Geo2/28,28 Geo. 2,Geo2,28,1754-06-11,1755-06-10
Geo2/29,29 Geo. 2,Geo2,29,1755-06-11,1756-06-10
Geo2/3,3 Geo. 2,Geo2,3,1729-06-11,1730-06-10
Geo2/30,30 Geo. 2,Geo2,30,1756-06-11,1757-06-10
Geo2/31,31 Geo. 2,Geo2,31,1757-06-11,1758-06-10
Geo2/32,32 Geo. 2,Geo2,32,1758-06-11,1759-06-10
Geo2/33,33 Geo. 2,Geo2,33,1759-06-11,1760-06-10
Geo2/34,34 Geo. 2,Geo2,34,1760-06-11,1760-10-25
Geo2/4,4 Geo. 2,Geo2,4,1730-06-11,1731-06-10
Geo2/5,5 Geo. 2,Geo2,5,1731-06-11,1732-06-10
Geo2/6,6 Geo. 2,Geo2,6,1732-06-11,1733-06-10
Geo2/7,7 Geo. 2,Geo2,7,1733-06-11,1734-06-10
Geo2/8,8 Geo. 2,Geo2,8,1734-06-11,1735-06-10
Geo2/9,9 Geo. 2,Geo2,9,1735-06-11,1736-06-10
Geo3/1,1 Geo. 3,Geo3,1,1760-10-25,1761-10-24
Geo3/10,10 Geo. 3,Geo3,10,1769-10-25,1770-10-24
Geo3/11,11 Geo. 3,Geo3,11,1770-10-25,1771-10-24
Geo3/12,12 Geo. 3,Geo3,12,1771-10-25,1772-10-24
Geo3/13,13 Geo. 3,Geo3,13,1772-10-25,1773-10-24
Geo3/14,14 Geo. 3,Geo3,14,1773-10-25,1774-10-24
Geo3/15,15 Geo. 3,Geo3,15,1774-10-25,1775-10-24
Geo3/16,16 Geo. 3,Geo3,16,1775-10-25,1776-10-24
Geo3/17,17 Geo. 3,Geo3,17,1776-10-25,1777-10-24
Geo3/18,18 Geo. 3,Geo3,18,1777-10-25,1778-10-24
Geo3/19,19 Geo. 3,Geo3,19,1778-10-25,1779-10-24
Geo3/2,2 Geo. 3,Geo3,2,1761-10-25,1762-10-24
Geo3/20,20 Geo. 3,Geo3,20,1779-10-25,1780-10-24
Geo3/21,21 Geo. 3,Geo3,21,1780-10-25,1781-10-24
Geo3/22,22 Geo. 3,Geo3,22,1781-10-25,1782-10-24
Geo3/23,23 Geo. 3,Geo3,23,1782-10-25,1783-10-24
Geo3/24,24 Geo. 3,Geo3,24,1783-10-25,1784-10-24
Geo3/25,25 Geo. 3,Geo3,25,1784-10-25,1785-10-24
Geo3/26,26 Geo. 3,Geo3,26,1785-10-25,1786-10-24
Geo3/27,27 Geo. 3,Geo3,27,1786-10-25,1787-10-24
Geo3/28,28 Geo. 3,Geo3,28,1787-10-25,1788-10-24
Geo3/29,29 Geo. 3,Geo3,29,1788-10-25,1789-10-24
Geo3/3,3 Geo. 3,Geo3,3,1762-10-25,1763-10-24
Geo3/30,30 Geo. 3,Geo3,30,1789-10-25,1790-10-24
Geo3/31,31 Geo. 3,Geo3,31,1790-10-25,1791-10-24
Geo3/32,32 Geo. 3,Geo3,32,1791-10-25,1792-10-24
Geo3/33,33 Geo. 3,Geo3,33,1792-10-25,1793-10-24
Geo3/34,34 Geo. 3,Geo3,34,1793-10-25,1794-10-24
Geo3/35,35 Geo. 3,Geo3,35,1794-10-25,1795-10-24
Geo3/36,36 Geo. 3,Geo3,36,1795-10-25,1796-10-24
Geo3/37,37 Geo. 3,Geo3,37,1796-10-25,1797-10-24
Geo3/38,38 Geo. 3,Geo3,38,1797-10-25,1798-10-24
Geo3/39,39 Geo. 3,Geo3,39,1798-10-25,1799-10-24
Geo3/4,4 Geo. 3,Geo3,4,1763-10-25,1764-10-24
Geo3/40,40 Geo. 3,Geo3,40,1799-10-25,1800-10-24
Geo3/41,41 Geo. 3,Geo3,41,1800-10-25,1801-10-24
Geo3/42,42 Geo. 3,Geo3,42,1801-10-25,1802-10-24
Geo3/43,43 Geo. 3,Geo3,43,1802-10-25,1803-10-24
Geo3/44,44 Geo. 3,Geo3,44,1803-10-25,1804-10-24
Geo3/45,45 Geo. 3,Geo3,45,1804-10-25,1805-10-24
Geo3/46,46 Geo. 3,Geo3,46,1805-10-25,1806-10-24
Geo3/47,47 Geo. 3,Geo3,47,1806-10-25,1807-10-24
Geo3/48,48 Geo. 3,Geo3,48,1807-10-25,1808-10-24
Geo3/49,49 Geo. 3,Geo3,49,1808-10-25,1809-10-24
Geo3/5,5 Geo. 3,Geo3,5,1764-10-25,1765-10-24
Geo3/50,50 Geo. 3,Geo3,50,1809-10-25,1810-10-24
Geo3/51,51 Geo. 3,Geo3,51,1810-10-25,1811-10-24
Geo3/52,52 Geo. 3,Geo3,52,1811-10-25,1812-10-24
Geo3/53,53 Geo. 3,Geo3,53,1812-10-25,1813-10-24
Geo3/54,54 Geo. 3,Geo3,54,1813-10-25,1814-10-24
Geo3/55,55 Geo. 3,Geo3,55,1814-10-25,1815-10-24
Geo3/56,56 Geo. 3,Geo3,56,1815-10-25,1816-10-24
Geo3/57,57 Geo. 3,Geo3,57,1816-10-25,1817-10-24
Geo3/58,58 Geo. 3,Geo3,58,1817-10-25,1818-10-24
Geo3/59,59 Geo. 3,Geo3,59,1818-10-25,1819-10-24
Geo3/6,6 Geo. 3,Geo3,6,1765-10-25,1766-10-24
Geo3/60,60 Geo. 3,Geo3,60,1819-10-25,1820-01-29
Geo3/7,7 Geo. 3,Geo3,7,1766-10-25,1767-10-24
